Reconocimiento total de tokens:
[OK] PROGRAM              lexema='program' (lin. 001, col. 001)
[OK] BEGIN                lexema='begin' (lin. 016, col. 001)
[OK] ID                   lexema='a' (lin. 017, col. 004)
[OK] ASIGNACION           lexema=':=' (lin. 017, col. 005)
[OK] NUMERO               lexema='3' (lin. 017, col. 008)
[OK] DIVISION_ENTERA      lexema='div' (lin. 017, col. 010)
[OK] NUMERO               lexema='5' (lin. 017, col. 014)
[OK] END                  lexema='end' (lin. 018, col. 001)
[OK] FIN_SENTENCIA        lexema=';' (lin. 018, col. 005)
[OK] FUNCTION             lexema='function' (lin. 020, col. 001)
[OK] ID                   lexema='f1' (lin. 020, col. 010)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 020, col. 013)
[OK] ID                   lexema='a' (lin. 020, col. 014)
[OK] SEPARADOR            lexema=',' (lin. 020, col. 015)
[OK] ID                   lexema='b' (lin. 020, col. 016)
[OK] DECLARACION_TIPO     lexema=':' (lin. 020, col. 017)
[OK] INTEGER              lexema='integer' (lin. 020, col. 018)
[OK] PARENTESIS_DER       lexema=')' (lin. 020, col. 025)
[OK] DECLARACION_TIPO     lexema=':' (lin. 020, col. 026)
[OK] INTEGER              lexema='integer' (lin. 020, col. 027)
[OK] FIN_SENTENCIA        lexema=';' (lin. 020, col. 034)
[OK] VAR                  lexema='var' (lin. 021, col. 001)
[OK] ID                   lexema='p1a' (lin. 021, col. 005)
[OK] DECLARACION_TIPO     lexema=':' (lin. 021, col. 009)
[OK] INTEGER              lexema='integer' (lin. 021, col. 011)
[OK] FIN_SENTENCIA        lexema=';' (lin. 021, col. 019)
[OK] BEGIN                lexema='begin' (lin. 022, col. 001)
[OK] ID                   lexema='a' (lin. 023, col. 004)
[OK] ASIGNACION           lexema=':=' (lin. 023, col. 005)
[OK] NUMERO               lexema='3' (lin. 023, col. 008)
[OK] DIVISION_ENTERA      lexema='div' (lin. 023, col. 010)
[OK] NUMERO               lexema='5' (lin. 023, col. 014)
[OK] END                  lexema='end' (lin. 024, col. 001)
[OK] FIN_SENTENCIA        lexema=';' (lin. 024, col. 005)
[OK] BEGIN                lexema='begin' (lin. 027, col. 001)
[OK] ID                   lexema='a' (lin. 028, col. 003)
[OK] ASIGNACION           lexema=':=' (lin. 028, col. 005)
[OK] NUMERO               lexema='5' (lin. 028, col. 008)
[OK] OPER_RELACIONAL      lexema='>' (lin. 028, col. 010) atributo=MAYOR
[OK] NUMERO               lexema='3' (lin. 028, col. 012)
[OK] AND                  lexema='and' (lin. 028, col. 014)
[OK] ID                   lexema='c' (lin. 028, col. 018)
[OK] OPERADOR_MATEMATICO  lexema='-' (lin. 028, col. 019) atributo=RESTA
[OK] NUMERO               lexema='1' (lin. 028, col. 020)
[OK] FIN_SENTENCIA        lexema=';' (lin. 028, col. 021)
[OK] ID                   lexema='b' (lin. 029, col. 003)
[OK] ASIGNACION           lexema=':=' (lin. 029, col. 005)
[OK] NUMERO               lexema='10' (lin. 029, col. 008)
[OK] FIN_SENTENCIA        lexema=';' (lin. 029, col. 010)
[OK] ID                   lexema='result' (lin. 030, col. 003)
[OK] ASIGNACION           lexema=':=' (lin. 030, col. 010)
[OK] ID                   lexema='a' (lin. 030, col. 013)
[OK] OPERADOR_MATEMATICO  lexema='+' (lin. 030, col. 015) atributo=SUMA
[OK] ID                   lexema='b' (lin. 030, col. 017)
[OK] FIN_SENTENCIA        lexema=';' (lin. 030, col. 018)
[OK] ID                   lexema='isValid' (lin. 031, col. 003)
[OK] ASIGNACION           lexema=':=' (lin. 031, col. 011)
[OK] TRUE                 lexema='true' (lin. 031, col. 014)
[OK] FIN_SENTENCIA        lexema=';' (lin. 031, col. 018)
[OK] ID                   lexema='p1' (lin. 032, col. 003)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 032, col. 005)
[OK] ID                   lexema='d' (lin. 032, col. 006)
[OK] SEPARADOR            lexema=',' (lin. 032, col. 007)
[OK] NUMERO               lexema='7' (lin. 032, col. 008)
[OK] PARENTESIS_DER       lexema=')' (lin. 032, col. 009)
[OK] FIN_SENTENCIA        lexema=';' (lin. 032, col. 010)
[OK] WHILE                lexema='while' (lin. 034, col. 001)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 034, col. 007)
[OK] ID                   lexema='counter' (lin. 034, col. 008)
[OK] OPER_RELACIONAL      lexema='<' (lin. 034, col. 016) atributo=MENOR
[OK] ID                   lexema='limit' (lin. 034, col. 018)
[OK] PARENTESIS_DER       lexema=')' (lin. 034, col. 023)
[OK] DO                   lexema='do' (lin. 034, col. 025)
[OK] BEGIN                lexema='begin' (lin. 035, col. 003)
[OK] IF                   lexema='if' (lin. 036, col. 005)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 036, col. 008)
[OK] ID                   lexema='counter' (lin. 036, col. 009)
[OK] DIVISION_ENTERA      lexema='div' (lin. 036, col. 017)
[OK] NUMERO               lexema='2' (lin. 036, col. 021)
[OK] OPER_RELACIONAL      lexema='=' (lin. 036, col. 023) atributo=IGUAL
[OK] NUMERO               lexema='0' (lin. 036, col. 025)
[OK] PARENTESIS_DER       lexema=')' (lin. 036, col. 026)
[OK] THEN                 lexema='then' (lin. 036, col. 028)
[OK] ID                   lexema='isEven' (lin. 037, col. 007)
[OK] ASIGNACION           lexema=':=' (lin. 037, col. 014)
[OK] TRUE                 lexema='true' (lin. 037, col. 017)
[OK] ELSE                 lexema='else' (lin. 038, col. 005)
[OK] ID                   lexema='isEven' (lin. 039, col. 007)
[OK] ASIGNACION           lexema=':=' (lin. 039, col. 014)
[OK] FALSE                lexema='false' (lin. 039, col. 017)
[OK] FIN_SENTENCIA        lexema=';' (lin. 039, col. 022)
[OK] WRITE                lexema='write' (lin. 041, col. 005)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 041, col. 010)
[OK] ID                   lexema='counter' (lin. 041, col. 011)
[OK] PARENTESIS_DER       lexema=')' (lin. 041, col. 018)
[OK] FIN_SENTENCIA        lexema=';' (lin. 041, col. 019)
[OK] ID                   lexema='counter' (lin. 042, col. 005)
[OK] ASIGNACION           lexema=':=' (lin. 042, col. 013)
[OK] ID                   lexema='counter' (lin. 042, col. 016)
[OK] OPERADOR_MATEMATICO  lexema='+' (lin. 042, col. 024) atributo=SUMA
[OK] NUMERO               lexema='1' (lin. 042, col. 026)
[OK] END                  lexema='end' (lin. 043, col. 003)
[OK] FIN_SENTENCIA        lexema=';' (lin. 043, col. 006)
[OK] WRITE                lexema='write' (lin. 045, col. 003)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 045, col. 008)
[OK] ID                   lexema='result' (lin. 045, col. 009)
[OK] PARENTESIS_DER       lexema=')' (lin. 045, col. 015)
[OK] FIN_SENTENCIA        lexema=';' (lin. 045, col. 016)
[OK] END                  lexema='end' (lin. 046, col. 001)
[OK] FIN_PROGRAMA         lexema='.' (lin. 046, col. 004)

Resumen:
Tokens válidos: 159
Errores léxicos: 0
No se encontraron errores léxicos.
